"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-3.48,-0.93866710910236,-2.87733421820473,-0.93866710910236
"Gaussian",0,-3.476,-0.938576356693863,-2.87715271338771,-0.938576356693863
"Gaussian",0,-3.472,-0.938485347052553,-2.87697069410509,-0.938485347052553
"Gaussian",0,-3.468,-0.938394079126387,-2.87678815825276,-0.938394079126387
"Gaussian",0,-3.464,-0.938302551857793,-2.87660510371557,-0.938302551857793
"Gaussian",0,-3.46,-0.938210764183668,-2.87642152836734,-0.938210764183668
"Gaussian",0,-3.456,-0.938118715035309,-2.8762374300706,-0.938118715035309
"Gaussian",0,-3.452,-0.93802640333838,-2.87605280667676,-0.93802640333838
"Gaussian",0,-3.448,-0.937933828012887,-2.87586765602576,-0.937933828012887
"Gaussian",0,-3.444,-0.93784098797316,-2.87568197594631,-0.93784098797316
"Gaussian",0,-3.44,-0.937747882127782,-2.87549576425555,-0.937747882127782
"Gaussian",0,-3.436,-0.937654509379569,-2.87530901875912,-0.937654509379569
"Gaussian",0,-3.432,-0.937560868625544,-2.87512173725108,-0.937560868625544
"Gaussian",0,-3.428,-0.937466958756876,-2.87493391751375,-0.937466958756876
"Gaussian",0,-3.424,-0.937372778658873,-2.87474555731775,-0.937372778658873
"Gaussian",0,-3.42,-0.937278327210907,-2.87455665442179,-0.937278327210907
"Gaussian",0,-3.416,-0.937183603286409,-2.87436720657282,-0.937183603286409
"Gaussian",0,-3.412,-0.937088605752816,-2.87417721150563,-0.937088605752816
"Gaussian",0,-3.408,-0.936993333471551,-2.87398666694309,-0.936993333471551
"Gaussian",0,-3.404,-0.936897785297931,-2.87379557059585,-0.936897785297931
"Gaussian",0,-3.4,-0.936801960081212,-2.87360392016241,-0.936801960081212
"Gaussian",0,-3.396,-0.93670585666449,-2.87341171332896,-0.93670585666449
"Gaussian",0,-3.392,-0.936609473884649,-2.87321894776929,-0.936609473884649
"Gaussian",0,-3.388,-0.936512810572391,-2.87302562114477,-0.936512810572391
"Gaussian",0,-3.384,-0.936415865552115,-2.87283173110422,-0.936415865552115
"Gaussian",0,-3.38,-0.936318637641958,-2.87263727528391,-0.936318637641958
"Gaussian",0,-3.376,-0.936221125653672,-2.87244225130735,-0.936221125653672
"Gaussian",0,-3.372,-0.93612332839265,-2.8722466567853,-0.93612332839265
"Gaussian",0,-3.368,-0.936025244657849,-2.8720504893157,-0.936025244657849
"Gaussian",0,-3.364,-0.935926873241744,-2.87185374648347,-0.935926873241744
"Gaussian",0,-3.36,-0.935828212930322,-2.87165642586064,-0.935828212930322
"Gaussian",0,-3.356,-0.935729262503005,-2.87145852500603,-0.935729262503005
"Gaussian",0,-3.352,-0.935630020732633,-2.87126004146528,-0.935630020732633
"Gaussian",0,-3.348,-0.935530486385406,-2.87106097277082,-0.935530486385406
"Gaussian",0,-3.344,-0.935430658220833,-2.87086131644166,-0.935430658220833
"Gaussian",0,-3.34,-0.935330534991699,-2.8706610699834,-0.935330534991699
"Gaussian",0,-3.336,-0.93523011544403,-2.87046023088806,-0.93523011544403
"Gaussian",0,-3.332,-0.935129398317061,-2.87025879663412,-0.935129398317061
"Gaussian",0,-3.328,-0.935028382343142,-2.87005676468628,-0.935028382343142
"Gaussian",0,-3.324,-0.934927066247726,-2.86985413249546,-0.934927066247726
"Gaussian",0,-3.32,-0.934825448749346,-2.86965089749871,-0.934825448749346
"Gaussian",0,-3.316,-0.934723528559505,-2.86944705711902,-0.934723528559505
"Gaussian",0,-3.312,-0.934621304382717,-2.86924260876545,-0.934621304382717
"Gaussian",0,-3.308,-0.934518774916387,-2.86903754983277,-0.934518774916387
"Gaussian",0,-3.304,-0.934415938850785,-2.8688318777016,-0.934415938850785
"Gaussian",0,-3.3,-0.934312794869043,-2.8686255897381,-0.934312794869043
"Gaussian",0,-3.296,-0.934209341647024,-2.86841868329407,-0.934209341647024
"Gaussian",0,-3.292,-0.934105577853378,-2.86821115570678,-0.934105577853378
"Gaussian",0,-3.288,-0.934001502149385,-2.86800300429878,-0.934001502149385
"Gaussian",0,-3.284,-0.933897113188983,-2.86779422637798,-0.933897113188983
"Gaussian",0,-3.28,-0.933792409618728,-2.86758481923747,-0.933792409618728
"Gaussian",0,-3.276,-0.933687390077667,-2.86737478015536,-0.933687390077667
"Gaussian",0,-3.272,-0.93358205319735,-2.86716410639472,-0.93358205319735
"Gaussian",0,-3.268,-0.933476397601787,-2.86695279520359,-0.933476397601787
"Gaussian",0,-3.264,-0.933370421907365,-2.86674084381474,-0.933370421907365
"Gaussian",0,-3.26,-0.933264124722806,-2.86652824944564,-0.933264124722806
"Gaussian",0,-3.256,-0.933157504649127,-2.86631500929828,-0.933157504649127
