"sigma","index","singular_value","normalized_singular_value"
0.1,226,2.37287251555219e-32,1.15896766932777e-32
0.1,227,9.64904597416243e-33,4.71282475169517e-33
0.1,228,2.73239031953723e-33,1.33456476046329e-33
0.1,229,9.37447475738146e-34,4.57871760472816e-34
0.1,230,2.62852207785251e-34,1.2838330278508e-34
0.1,231,7.49755665493046e-35,3.6619859284752e-35
0.1,232,2.5376167793587e-35,1.23943270662225e-35
0.1,233,6.64098565622121e-36,3.24361617304955e-36
0.1,234,2.92485857826853e-36,1.42857085972879e-36
0.1,235,7.21086529656062e-37,3.52195901457714e-37
0.1,236,1.94033777557336e-37,9.47707360899487e-38
0.1,237,7.60115760220978e-38,3.71258710810938e-38
0.1,238,1.86718742949111e-38,9.11978982929825e-39
0.1,239,4.7510982025001e-39,2.32054995555356e-39
0.1,240,1.07866424411675e-39,5.26845406484164e-40
0.2,1,2.45354100290773,1
0.2,2,1.77283607728822,0.722562237674939
0.2,3,1.05466880806445,0.429855790799725
0.2,4,0.531849695811395,0.216768211813494
0.2,5,0.234443365361708,0.095553065990691
0.2,6,0.0926850230378704,0.0377760236849631
0.2,7,0.0334884763901001,0.0136490388179421
0.2,8,0.0112092817715793,0.00456861399841901
0.2,9,0.00351083466169992,0.00143092561222298
0.2,10,0.00103690765618431,0.000422616803613819
0.2,11,0.000290549935948605,0.000118420656351074
0.2,12,7.76261381675757e-05,3.1638410801197e-05
0.2,13,1.98557537821354e-05,8.09269287067307e-06
0.2,14,4.87929844111257e-06,1.98867613597247e-06
0.2,15,1.15531697540004e-06,4.70877386614228e-07
0.2,16,2.64254174481806e-07,1.07703182530324e-07
0.2,17,5.85169108516033e-08,2.38499828542723e-08
0.2,18,1.2569704538924e-08,5.12308721314517e-09
0.2,19,2.6236232372923e-09,1.06932112982135e-09
0.2,20,5.32939643666632e-10,2.17212446433558e-10
0.2,21,1.05500270908666e-10,4.29991880240174e-11
0.2,22,2.03783027955316e-11,8.30567036433506e-12
0.2,23,3.84512433335002e-12,1.56717345615708e-12
0.2,24,7.09470724065001e-13,2.89161959479869e-13
0.2,25,1.28188982790425e-13,5.22465215125837e-14
0.2,26,2.27098337601027e-14,9.2559422211363e-15
0.2,27,4.07365905043069e-15,1.66031830957907e-15
0.2,28,3.11879386196675e-15,1.27113989873029e-15
0.2,29,2.16655012043391e-15,8.83029922005094e-16
0.2,30,1.79639782733988e-15,7.32165398993106e-16
0.2,31,1.25467295682807e-15,5.11372320797224e-16
0.2,32,1.18205365055618e-15,4.81774565477124e-16
0.2,33,9.2420203300526e-16,3.76680899936041e-16
0.2,34,7.8477104901468e-16,3.19852428830265e-16
0.2,35,7.73463749635229e-16,3.15243865384188e-16
0.2,36,7.16930533252967e-16,2.92202385207063e-16
0.2,37,6.01635690367834e-16,2.45211182391012e-16
0.2,38,5.9181691412193e-16,2.41209302563339e-16
0.2,39,5.59316904594428e-16,2.27963137331544e-16
0.2,40,4.72105147744423e-16,1.92417875708995e-16
0.2,41,4.40671787779547e-16,1.79606449314399e-16
0.2,42,4.24023487578862e-16,1.72821031756284e-16
0.2,43,3.90185666986141e-16,1.59029609256062e-16
0.2,44,3.83685720460687e-16,1.5638039878118e-16
0.2,45,3.57324480865448e-16,1.45636237764919e-16
0.2,46,3.10087551152981e-16,1.26383684146909e-16
0.2,47,2.89754815826649e-16,1.18096585907167e-16
0.2,48,2.73586028696839e-16,1.1150660550307e-16
0.2,49,2.4117839011548e-16,9.82980882853213e-17
0.2,50,2.35959924253422e-16,9.61711762606706e-17
0.2,51,2.18008376593946e-16,8.8854588668207e-17
0.2,52,2.14209518783098e-16,8.73062722527299e-17
0.2,53,2.0460435208686e-16,8.33914541653798e-17
0.2,54,1.93453926904047e-16,7.88468285937677e-17
0.2,55,1.80407460433031e-16,7.35294255197804e-17
0.2,56,1.7343523644898e-16,7.0687726939733e-17
0.2,57,1.65814288485823e-16,6.7581625205902e-17
0.2,58,1.48553493698021e-16,6.05465706592914e-17
0.2,59,1.4122953736166e-16,5.7561515048775e-17
0.2,60,1.33814467852171e-16,5.45393240600363e-17
0.2,61,1.29191099636338e-16,5.2654958479696e-17
0.2,62,1.28338113502762e-16,5.23073033426653e-17
0.2,63,1.21917237515594e-16,4.96903199788011e-17
0.2,64,1.2115411119019e-16,4.93792893807801e-17
0.2,65,1.18669218799495e-16,4.83665113641298e-17
0.2,66,1.06679779873188e-16,4.34799254411318e-17
0.2,67,1.04572163384679e-16,4.26209153467371e-17
0.2,68,1.02610595765772e-16,4.18214310028511e-17
0.2,69,9.98300147689102e-17,4.06881379404706e-17
0.2,70,9.48951649076748e-17,3.86768204791414e-17
0.2,71,9.31075504976361e-17,3.79482349743872e-17
0.2,72,9.05961317460273e-17,3.69246454975321e-17
0.2,73,8.99648688548591e-17,3.66673590326146e-17
0.2,74,8.790134494022e-17,3.58263199335356e-17
0.2,75,8.55621959493518e-17,3.48729431657962e-17
0.2,76,8.43636945132445e-17,3.43844649073579e-17
0.2,77,8.24022088245195e-17,3.35850139560999e-17
0.2,78,8.15361510651686e-17,3.32320311617124e-17
0.2,79,7.71752341506499e-17,3.14546339593218e-17
0.2,80,7.67574461021314e-17,3.12843543316232e-17
0.2,81,7.58834478914528e-17,3.0928135214175e-17
0.2,82,7.49067094164329e-17,3.05300418161587e-17
0.2,83,7.29333063323355e-17,2.97257336420712e-17
0.2,84,7.18106868317297e-17,2.9268182902436e-17
0.2,85,6.97694503207682e-17,2.84362275739771e-17
0.2,86,6.67812889515347e-17,2.72183301083581e-17
0.2,87,6.59818644641711e-17,2.68925053161838e-17
0.2,88,6.4012905770992e-17,2.60900085611487e-17
0.2,89,6.19718388747181e-17,2.52581223632596e-17
0.2,90,6.02808813816609e-17,2.45689317236684e-17
0.2,91,5.6358847486636e-17,2.29704119147976e-17
0.2,92,5.5935013415623e-17,2.27976680843457e-17
0.2,93,5.43312254667635e-17,2.21440055015892e-17
0.2,94,5.30603695713474e-17,2.16260374326187e-17
0.2,95,5.16189220951182e-17,2.10385406373661e-17
0.2,96,4.93460638405424e-17,2.01121822631297e-17
0.2,97,4.85238857104916e-17,1.97770836733461e-17
0.2,98,4.63466992044274e-17,1.88897186350264e-17
0.2,99,4.44345735836514e-17,1.81103855737448e-17
0.2,100,4.20081958545391e-17,1.71214566232048e-17
0.2,101,4.10298632891213e-17,1.67227135150772e-17
0.2,102,3.87270993590835e-17,1.57841663592283e-17
0.2,103,3.70873489412671e-17,1.51158464021243e-17
0.2,104,3.47588437136607e-17,1.41668077576317e-17
0.2,105,3.32764180406874e-17,1.35626093068145e-17
0.2,106,3.22847583882907e-17,1.31584344219353e-17
0.2,107,2.87577886587889e-17,1.17209325724362e-17
0.2,108,2.64827300526593e-17,1.07936773916858e-17
0.2,109,2.49409313863009e-17,1.01652800408646e-17
0.2,110,2.47265379300002e-17,1.00778988004262e-17
0.2,111,2.39441121552673e-17,9.75900224487417e-18
0.2,112,2.29035662816331e-17,9.33490259771073e-18
0.2,113,2.11714147672242e-17,8.62892233801419e-18
0.2,114,2.0298193512247e-17,8.27301988766086e-18
0.2,115,1.94968685087056e-17,7.94642049413462e-18
0.2,116,1.8986907261403e-17,7.73857344910939e-18
0.2,117,1.82182228596235e-17,7.42527752258177e-18
0.2,118,1.68876371719363e-17,6.8829651315884e-18
0.2,119,1.64662889423088e-17,6.71123446593896e-18
0.2,120,1.53064549571183e-17,6.23851606269402e-18
0.2,121,1.4694372767352e-17,5.98904715671656e-18
0.2,122,1.33205150848689e-17,5.42909821726335e-18
0.2,123,1.2404861227315e-17,5.05590133305854e-18
0.2,124,1.05594908840515e-17,4.30377600029397e-18
0.2,125,1.03295288651033e-17,4.21004941546184e-18
0.2,126,9.24604142673626e-18,3.76844789460565e-18
0.2,127,7.90162169377394e-18,3.22049710374093e-18
0.2,128,7.09320559829317e-18,2.89100756412341e-18
0.2,129,5.47479524766632e-18,2.23138526773266e-18
0.2,130,5.01763441515594e-18,2.04505830928013e-18
0.2,131,4.92852612383842e-18,2.00874006914804e-18
0.2,132,4.23740528102854e-18,1.72705704775536e-18
0.2,133,3.17098864338061e-18,1.29241314476612e-18
0.2,134,3.08775967903059e-18,1.25849116659197e-18
0.2,135,2.67587518265189e-18,1.09061767440637e-18
0.2,136,2.07994913076407e-18,8.47733593324542e-19
0.2,137,1.95080522810745e-18,7.95097871115876e-19
0.2,138,1.40998112748083e-18,5.74671923481138e-19
0.2,139,1.25814121171832e-18,5.12785891993359e-19
0.2,140,1.09341276854046e-18,4.45646829315115e-19
0.2,141,1.03517728408923e-18,4.21911548599524e-19
0.2,142,8.90548778541296e-19,3.62964701827234e-19
0.2,143,7.81775506248545e-19,3.18631522897743e-19
0.2,144,5.89440907358141e-19,2.4024090351846e-19
0.2,145,5.01703077135446e-19,2.04481227964346e-19
0.2,146,4.43833932478452e-19,1.80895257895612e-19
0.2,147,4.11238397178555e-19,1.67610158823998e-19
0.2,148,3.12235745303202e-19,1.27259232649125e-19
0.2,149,2.32853756718742e-19,9.49051825271245e-20
0.2,150,1.8309281393819e-19,7.46239063138558e-20
