"channel","epsilon","delta","lambda","efficiency","efficiency_se","efficiency_lower","efficiency_upper","revenue","revenue_se","revenue_lower","revenue_upper","build_probability","mean_aggregate_xhat","mean_aggregate_Jhat","signal_outside_grid_rate"
"Logistic",1,1e-05,1,0.511453388984351,0.00355699785549429,0.504481673187582,0.51842510478112,-24.4197262357239,0.17148250241732,-24.7558319404618,-24.0836205309859,0.503750000000001,50.004989887416,-49.9900202251681,0
"Gaussian",1.5,1e-05,1,0.508513755335736,0.00355797100818477,0.501540132159694,0.515487378511779,-24.6274293413481,0.173198789655379,-24.9668989690727,-24.2879597136236,0.50285,50.0024426193735,-49.9951147612531,0
"Laplace",1.5,1e-05,1,0.518426389795909,0.00355259802437885,0.511463297668126,0.525389481923692,-23.466800372772,0.165659077747203,-23.7914921651565,-23.1421085803875,0.502250000000001,50.0117015823479,-49.9765968353044,0
"Logistic",1.5,1e-05,1,0.516437781648497,0.0035546749604038,0.509470618726105,0.523404944570888,-24.1282115780411,0.169061330454378,-24.4595717857317,-23.7968513703505,0.5052,50.0073844519964,-49.9852310960073,0
"Gaussian",2,1e-05,1,0.510633142140182,0.00355732477756519,0.503660785576154,0.51760549870421,-24.517804305448,0.172180833243026,-24.8552787386044,-24.1803298722917,0.50365,50.0032141950994,-49.9935716098011,0
"Laplace",2,1e-05,1,0.521310520788107,0.00354999344270862,0.514352533640399,0.528268507935816,-23.0117836642139,0.163038860533817,-23.3313398308601,-22.6922274975676,0.50125,50.0125659485939,-49.9748681028123,0
"Logistic",2,1e-05,1,0.519252540835838,0.00355260238053214,0.512289440169995,0.526215641501681,-23.7548361270666,0.16679902994502,-24.0817622257589,-23.4279100283744,0.5046,50.0095099171632,-49.9809801656736,0
"Gaussian",3,1e-05,1,0.514730885309934,0.00355564714296698,0.507761816909718,0.521699953710149,-24.3114405729966,0.170311381462744,-24.6452508806636,-23.9776302653297,0.505100000000001,50.0047293527149,-49.9905412945702,0
"Laplace",3,1e-05,1,0.528129742491596,0.00354318953714543,0.521185090998791,0.535074393984401,-22.3962986714897,0.159099278976268,-22.7081332582832,-22.0844640846962,0.5017,50.0138672980174,-49.9722654039651,0
"Logistic",3,1e-05,1,0.524278626946086,0.00354805962133354,0.517324430088272,0.531232823803899,-23.105292518021,0.162885640640454,-23.4245483736763,-22.7860366623657,0.503800000000001,50.0126629617658,-49.9746740764685,0
"Gaussian",4,1e-05,1,0.515146614573942,0.00355496808350173,0.508178877130278,0.522114352017605,-23.9489085363696,0.168584445542016,-24.2793340496319,-23.6184830231072,0.502950000000001,50.0061968323051,-49.9876063353899,0
"Laplace",4,1e-05,1,0.53274355862566,0.00353719373669654,0.525810658901735,0.539676458349586,-21.9180785120359,0.156350594796057,-22.2245256778362,-21.6116313462356,0.5013,50.0151752263813,-49.9696495472372,0
"Logistic",4,1e-05,1,0.528310836146557,0.00354352468822064,0.521365527757644,0.535256144535469,-22.5690643021008,0.159781871309182,-22.8822367698668,-22.2558918343348,0.503049999999999,50.0144125000415,-49.9711749999171,0
"Gaussian",6,1e-05,1,0.521694673278752,0.00355085723336509,0.514734993101356,0.528654353456147,-23.6167990971666,0.165703346275072,-23.9415776558658,-23.2920205384675,0.505250000000001,50.0089144269829,-49.9821711460343,0
"Laplace",6,1e-05,1,0.540834768029921,0.00352617756808379,0.533923459996477,0.547746076063365,-21.4729094523999,0.153243015712639,-21.7732657631967,-21.1725531416031,0.503800000000001,50.0161227141023,-49.9677545717954,0
"Logistic",6,1e-05,1,0.53558834681782,0.00353392048794896,0.52866186266144,0.5425148309742,-21.8545750972128,0.155605145910162,-22.1595611831967,-21.5495890112289,0.50285,50.0156352721543,-49.9687294556915,0
