"required_revenue","lambda","achieved_revenue","welfare","efficiency","build_probability","channel","epsilon"
0.461640246055807,27.6926894073923,0.46173830891958,91.7606193493608,0.917190591798337,0.916050000000001,"Laplace",1
0.473181252207202,28.0256422919621,0.473260532791587,91.4391377027336,0.91397723138498,0.912800000000001,"Laplace",1
0.484722258358597,28.4940787535266,0.484799764144057,91.1116773675902,0.910704111165105,0.909500000000002,"Laplace",1
0.496263264509992,28.892625268614,0.496331209408836,90.7836732223644,0.907425555307428,0.906150000000002,"Laplace",1
0.507804270661388,29.1996345342561,0.507896771042707,90.4450107884597,0.904040464836424,0.902750000000003,"Laplace",1
0.519345276812783,29.5926124402653,0.519495649924378,90.1033920655786,0.900625824865264,0.899300000000003,"Laplace",1
0.530886282964178,30.0426334893262,0.530939220519306,89.7617139363885,0.897210591100078,0.895850000000003,"Laplace",1
0.542427289115573,30.4895571829343,0.542541665102794,89.4123441941752,0.89371847604147,0.892300000000004,"Laplace",1
0.553968295266968,31.0008356508561,0.554125227939947,89.0570923154734,0.890167566259318,0.888700000000004,"Laplace",1
0.565509301418364,31.5964223378705,0.56566264554793,88.6931732431381,0.886530023796237,0.885050000000005,"Laplace",1
0.577050307569759,32.1434342382928,0.577143966918167,88.329787241389,0.882897809624638,0.881350000000005,"Laplace",1
0.588591313721154,32.6049377955344,0.588606542221025,87.9573454242419,0.879175078314608,0.877600000000005,"Laplace",1
0.600132319872549,33.2079533884269,0.600179380796018,87.5782012103631,0.875385353393719,0.873750000000006,"Laplace",1
0.611673326023944,33.8138012374747,0.611714111401699,87.1932776949988,0.871537861633556,0.869850000000006,"Laplace",1
0.623214332175339,34.3428018305702,0.62334060666032,86.7972890667129,0.867579768860227,0.865850000000007,"Laplace",1
0.634755338326735,34.9062492055372,0.63478519926259,86.4017124518012,0.863625794354551,0.861850000000007,"Laplace",1
0.64629634447813,35.4906319506265,0.646326580297115,85.9928742154634,0.859539263699076,0.857750000000008,"Laplace",1
0.657837350629525,36.0690483361301,0.657942912724229,85.5741182362068,0.855353600533801,0.853550000000008,"Laplace",1
0.66937835678092,36.8591559294178,0.669485906822774,85.1529715949393,0.85114404157619,0.849300000000008,"Laplace",1
0.680919362932315,37.5800067502874,0.680935718217844,84.7265411807564,0.846881668820661,0.845000000000009,"Laplace",1
0.69246036908371,38.2335829567821,0.692569284721336,84.2844226156458,0.842462485610542,0.84055000000001,"Laplace",1
0,0,0.0466791088724124,100.045312468203,1,1,"Logistic",1
0.0115410061513952,0,0.0466791088724124,100.045312468203,1,1,"Logistic",1
0.0230820123027903,0,0.0466791088724124,100.045312468203,1,1,"Logistic",1
0.0346230184541855,0,0.0466791088724124,100.045312468203,1,1,"Logistic",1
0.0461640246055807,0,0.0466791088724124,100.045312468203,1,1,"Logistic",1
0.0577050307569759,19.8210136426941,0.0578737039899718,99.8439748391681,0.997987535606937,0.99795,"Logistic",1
0.069246036908371,21.9573897115423,0.069351038521361,99.6000662486478,0.995549554411188,0.9955,"Logistic",1
0.0807870430597662,23.4401565512787,0.0808473587386203,99.3382222912519,0.99293230077945,0.99285,"Logistic",1
0.0923280492111614,24.9483825955385,0.0924903900755381,99.0581387730754,0.990132734150422,0.99,"Logistic",1
0.103869055362557,26.4192637010594,0.104005845751,98.7592843391703,0.987145543381239,0.987,"Logistic",1
0.115410061513952,27.488184854503,0.115528407181063,98.4453398864559,0.984007520769594,0.98385,"Logistic",1
0.126951067665347,28.4216398060768,0.127017930792554,98.1238597281638,0.980794175232847,0.9806,"Logistic",1
0.138492073816742,29.4104384406242,0.138492647136862,97.7917621993543,0.977474704079063,0.97725,"Logistic",1
0.150033079968137,30.3718729258918,0.150098562762699,97.4434072156493,0.9739927320095,0.97375,"Logistic",1
0.161574086119532,31.354476524766,0.161620021111237,97.0884328880263,0.970444596481053,0.97015,"Logistic",1
0.173115092270928,32.2785046351072,0.17313376111371,96.7211580753363,0.966773511813226,0.96645,"Logistic",1
0.184656098422323,33.2828585965239,0.184756990537932,96.3379781105677,0.96294344766214,0.9626,"Logistic",1
0.196197104573718,34.2277503573731,0.196333988285037,95.9458255920726,0.959023698612232,0.958649999999999,"Logistic",1
0.207738110725113,35.0695907510225,0.207761966726104,95.5468930057495,0.955036179592288,0.954649999999999,"Logistic",1
0.219279116876508,35.8957696580255,0.219343444393937,95.1364563761379,0.95093367224351,0.950499999999999,"Logistic",1
0.230820123027903,36.8882581495761,0.230913623903311,94.7145984674374,0.946717003833038,0.946249999999999,"Logistic",1
0.242361129179299,37.7959323410607,0.242468326209927,94.2806991133167,0.942379975506412,0.941899999999999,"Logistic",1
0.253902135330694,38.7603543679304,0.253986052419811,93.837347365713,0.937948466056686,0.937449999999999,"Logistic",1
0.265443141482089,39.7263828717833,0.265483029497212,93.385691212794,0.933433950166073,0.932899999999999,"Logistic",1
0.276984147633484,40.8325026696895,0.277034524460568,92.9195335984632,0.928774485341282,0.9282,"Logistic",1
0.288525153784879,41.8228331110605,0.288551364598676,92.4422964792745,0.924004275649146,0.9234,"Logistic",1
0.300066159936275,42.8580156421951,0.300139366043361,91.9515528884259,0.919099062413847,0.918450000000001,"Logistic",1
0.31160716608767,43.7980942698303,0.311710635341339,91.449323950196,0.914079047724109,0.913400000000001,"Logistic",1
0.323148172239065,44.9758219350813,0.323232263764806,90.9368004995377,0.908956134535935,0.908250000000002,"Logistic",1
0.33468917839046,45.9429705930415,0.334794546547983,90.4117380638174,0.903707888288644,0.902950000000003,"Logistic",1
0.346230184541855,46.9520941327202,0.346230887480134,89.8744196124538,0.898337137394799,0.897600000000003,"Logistic",1
0.35777119069325,48.2057444550482,0.357806764072595,89.3217736046706,0.892813180358243,0.892050000000004,"Logistic",1
0.369312196844646,49.3210389780907,0.369317301378009,88.7594397096266,0.887192388327404,0.886400000000004,"Logistic",1
0.380853202996041,50.6415256827639,0.38094785303131,88.1761907201777,0.881362540081048,0.880550000000005,"Logistic",1
