"n","sigma","replications","accept_count","acceptance","acceptance_smoothed","acc_low","acc_high","I_hat","finite_n_rate","predicted_probability"
20,0.5,30000,8003,0.266766666666667,0.266774440851972,0.261792102038726,0.271800954063563,0.00972502864720032,0.0660675884217665,0.823245706582695
40,0.5,30000,5530,0.184333333333333,0.184343855204827,0.179986054355432,0.188761443327671,0.00972502864720032,0.0422738121769943,0.67773349340684
60,0.5,30000,4219,0.140633333333333,0.140645311822939,0.13674544893993,0.144613238760338,0.00972502864720032,0.032691901280401,0.557941188654472
80,0.5,30000,3107,0.103566666666667,0.103579880670644,0.100169355758405,0.107065490064736,0.00972502864720032,0.0283426521254652,0.45932268808544
120,0.5,30000,1848,0.0616,0.0616146128462385,0.0589350798891316,0.064377178772767,0.00972502864720032,0.023223801792045,0.311298369997165
160,0.5,30000,1122,0.0374,0.0374154194860171,0.0353114784076731,0.0396069770143029,0.00972502864720032,0.0205354523362855,0.210977331790034
20,0.6,30000,7420,0.247333333333333,0.247341755274824,0.242483524468331,0.252247841153414,0.0116271355406175,0.0698492137043105,0.792515899626035
40,0.6,30000,4923,0.1641,0.164111196293457,0.159952041546426,0.168333970507706,0.0116271355406175,0.0451802763683556,0.628081451160064
60,0.6,30000,3523,0.117433333333333,0.117446085130496,0.113839237027014,0.121125391368866,0.0116271355406175,0.0356962650109168,0.497764536304544
80,0.6,30000,2488,0.0829333333333333,0.0829472350921636,0.0798657709659579,0.0861076916539991,0.0116271355406175,0.0311193824390434,0.394486309291332
120,0.6,30000,1381,0.0460333333333333,0.046048465051165,0.0437195746548725,0.0484633367438803,0.0116271355406175,0.0256505070754884,0.247769533602478
160,0.6,30000,707,0.0235666666666667,0.0235825472484251,0.0219101363705414,0.0253451946098811,0.0116271355406175,0.0234203022744043,0.155619448218296
20,0.8,30000,6151,0.205033333333333,0.205043165227826,0.200502729367229,0.209639467781428,0.016533747462574,0.079226737996093,0.718438660114527
40,0.8,30000,3653,0.121766666666667,0.121779274024199,0.118114544941546,0.125515640508315,0.016533747462574,0.0526386275547703,0.516154108347156
60,0.8,30000,2340,0.078,0.0780140661977934,0.0750191514718754,0.0810889077327806,0.016533747462574,0.0425144355446993,0.370825066013539
80,0.8,30000,1528,0.0509333333333333,0.0509483017232759,0.0485024006673588,0.0534792560155106,0.016533747462574,0.0372117981511399,0.266415063563648
120,0.8,30000,662,0.0220666666666667,0.0220825972467584,0.0204645339981498,0.0237911810789717,0.016533747462574,0.0317747119630142,0.137511229583946
160,0.8,30000,274,0.00913333333333333,0.00914969501016633,0.00811792658808351,0.010274433589465,0.016533747462574,0.0293377170779531,0.0709769860936226
20,1,30000,5027,0.167566666666667,0.16757774740842,0.163383027036508,0.171835430660809,0.022866727903461,0.0893153935887638,0.632968539902422
40,1,30000,2663,0.0887666666666667,0.0887803739875337,0.0856007879988701,0.0920378475783685,0.022866727903461,0.0605397416766257,0.400649172506204
60,1,30000,1469,0.0489666666666667,0.0489817006099797,0.0465819435997183,0.0514668833432676,0.022866727903461,0.0502718084593852,0.253598321734366
80,1,30000,817,0.0272333333333333,0.0272490916969434,0.0254511873109731,0.0291365380997407,0.022866727903461,0.0450341886331334,0.160519759429906
120,1,30000,278,0.00926666666666667,0.00928302389920336,0.0082435012659842,0.0104154914363022,0.022866727903461,0.0389963994504562,0.0643121087864869
160,1,30000,95,0.00316666666666667,0.00318322722575914,0.00259137372085051,0.00386918097467857,0.022866727903461,0.0359366234120962,0.025766593167435
20,1.2,30000,4040,0.134666666666667,0.134678844038532,0.130850542829107,0.138576339389142,0.0306055424882252,0.100243113387429,0.54220514666982
40,1.2,30000,1737,0.0579,0.0579147361754608,0.0553132995001018,0.0605999066003211,0.0306055424882252,0.0712195853995784,0.293986421075241
60,1.2,30000,779,0.0259666666666667,0.0259824672510916,0.0242268233557692,0.0278278930699349,0.0306055424882252,0.0608388884154042,0.159400950558036
80,1.2,30000,390,0.013,0.0130162327922403,0.0117791255615713,0.0143455778333754,0.0306055424882252,0.0542694753017793,0.0864280157766287
120,1.2,30000,89,0.00296666666666667,0.00298323389220359,0.00241163364909076,0.00364897225933152,0.0306055424882252,0.0484562280678439,0.0254086630388055
160,1.2,30000,21,7e-04,0.000716642778574048,0.000457909461837245,0.00106994352604133,0.0306055424882252,0.0452558316143029,0.00746980191108517
