"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Gaussian",50,1.45,0.204,0.196216315176713,0.212011011858727,2.20717437127588,"Gaussian","n = 50"
"Gaussian",50,1.5,0.1849,0.177412594697363,0.192629401075837,2.45241596808431,"Gaussian","n = 50"
"Gaussian",50,1.55,0.1671,0.159916177356917,0.17453948875828,2.69765756489274,"Gaussian","n = 50"
"Gaussian",50,1.6,0.1516,0.144704788956411,0.158762781108276,2.94289916170117,"Gaussian","n = 50"
"Gaussian",50,1.65,0.1377,0.131085247701411,0.144592997517982,3.1881407585096,"Gaussian","n = 50"
"Gaussian",50,1.7,0.1223,0.116023162529755,0.128866909839454,3.43338235531803,"Gaussian","n = 50"
"Gaussian",50,1.75,0.1108,0.10479679861935,0.117102105712384,3.67862395212646,"Gaussian","n = 50"
"Gaussian",50,1.8,0.1012,0.0954411684678713,0.10726510863258,3.92386554893489,"Gaussian","n = 50"
"Gaussian",50,1.85,0.0915,0.0860048259439137,0.0973089007249291,4.16910714574332,"Gaussian","n = 50"
"Gaussian",50,1.9,0.0836,0.0783336568272155,0.089186137015884,4.41434874255175,"Gaussian","n = 50"
"Gaussian",50,1.95,0.078,0.072904492162259,0.083419602462592,4.65959033936019,"Gaussian","n = 50"
"Gaussian",50,2,0.0704,0.0655492362802065,0.0755806951198789,4.90483193616862,"Gaussian","n = 50"
"Gaussian",100,0,1,0.999616001629323,1,-6.93647984529034,"Gaussian","n = 100"
"Gaussian",100,0.05,1,0.999616001629323,1,-6.58965585302583,"Gaussian","n = 100"
"Gaussian",100,0.1,1,0.999616001629323,1,-6.24283186076131,"Gaussian","n = 100"
"Gaussian",100,0.15,1,0.999616001629323,1,-5.89600786849679,"Gaussian","n = 100"
"Gaussian",100,0.2,1,0.999616001629323,1,-5.54918387623227,"Gaussian","n = 100"
"Gaussian",100,0.25,1,0.999616001629323,1,-5.20235988396776,"Gaussian","n = 100"
"Gaussian",100,0.3,1,0.999616001629323,1,-4.85553589170324,"Gaussian","n = 100"
"Gaussian",100,0.35,1,0.999616001629323,1,-4.50871189943872,"Gaussian","n = 100"
"Gaussian",100,0.4,0.9999,0.999433731102599,0.999982347326399,-4.1618879071742,"Gaussian","n = 100"
"Gaussian",100,0.45,0.9988,0.997903527544183,0.99931339568123,-3.81506391490969,"Gaussian","n = 100"
"Gaussian",100,0.5,0.9957,0.994213378416848,0.996805925598463,-3.46823992264517,"Gaussian","n = 100"
"Gaussian",100,0.55,0.9873,0.984910638050862,0.989315117137076,-3.12141593038065,"Gaussian","n = 100"
"Gaussian",100,0.6,0.9716,0.968158748257994,0.974679064478784,-2.77459193811614,"Gaussian","n = 100"
"Gaussian",100,0.65,0.9425,0.937765085182945,0.946895076259006,-2.42776794585162,"Gaussian","n = 100"
"Gaussian",100,0.7,0.8993,0.893247668302373,0.905045670598805,-2.0809439535871,"Gaussian","n = 100"
"Gaussian",100,0.75,0.8486,0.841440949414803,0.855491326921161,-1.73411996132259,"Gaussian","n = 100"
"Gaussian",100,0.8,0.7874,0.779271285983252,0.795307991753283,-1.38729596905807,"Gaussian","n = 100"
"Gaussian",100,0.85,0.7178,0.708896449158304,0.726536281151429,-1.04047197679355,"Gaussian","n = 100"
"Gaussian",100,0.9,0.6475,0.638081285887945,0.656805434592705,-0.693647984529034,"Gaussian","n = 100"
"Gaussian",100,0.95,0.5717,0.561975753577933,0.581369181055712,-0.346823992264517,"Gaussian","n = 100"
"Gaussian",100,1,0.4968,0.487003491196964,0.506598966392608,0,"Gaussian","n = 100"
"Gaussian",100,1.05,0.4306,0.420923514505296,0.440329784468554,0.346823992264517,"Gaussian","n = 100"
"Gaussian",100,1.1,0.3619,0.352536080684713,0.371369979665267,0.693647984529035,"Gaussian","n = 100"
